"序号","文件名","订单号","图片分组","图片ID","原始路径","来源URL"
"495","0495_481173558439733759180857_img_002.jpg","481173558439733759180857","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173558439733759180857\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/75dd8c7d-1c99-420e-bc8d-a1109876d4e6.jpg"
"496","0496_481173558439733759180857_img_003.jpg","481173558439733759180857","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173558439733759180857\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/b9a394b1-41dd-408b-98b3-2c30302239f4.jpg"
"497","0497_481173560237116338995266_img_001.jpg","481173560237116338995266","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173560237116338995266\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/87c0ecba-5789-4013-afcf-ed07fa023156.jpg"
"498","0498_481173560237116338995266_img_002.jpg","481173560237116338995266","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173560237116338995266\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/fcddd424-0a64-4df5-8c9e-fe123687d49b.jpg"
"499","0499_481173560237116338995266_img_003.jpg","481173560237116338995266","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173560237116338995266\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/6294b975-feec-4a98-b2f1-9365c854b73b.jpg"
"500","0500_481173562040109196902408_img_001.jpg","481173562040109196902408","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562040109196902408\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/3232d4f0-d8e2-4dd3-888b-ed065910c1c9.jpg"
"501","0501_481173562040109196902408_img_002.jpg","481173562040109196902408","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562040109196902408\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/469c9f25-4e52-467d-8a6c-8f3567afa3d6.jpg"
"502","0502_481173562040109196902408_img_003.jpg","481173562040109196902408","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562040109196902408\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/f6d59b1a-d650-4f6f-96a1-c997a41a15d8.jpg"
"503","0503_481173562463389148774401_img_001.jpg","481173562463389148774401","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562463389148774401\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/8e0ec451-06b2-47e7-93e9-6470603a6e36.jpg"
"504","0504_481173562463389148774401_img_002.jpg","481173562463389148774401","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562463389148774401\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/b6f91a5a-aed5-4879-bded-10ab2492f71e.jpg"
"505","0505_481173562463389148774401_img_003.jpg","481173562463389148774401","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562463389148774401\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/fd7fc06b-a6c4-4dc7-9478-a65ecea1d576.jpg"
"506","0506_481173562740509314252877_img_001.jpg","481173562740509314252877","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562740509314252877\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/ad58343d-7618-40c5-a271-1bead8b61073.jpg"
"507","0507_481173562740509314252877_img_002.jpg","481173562740509314252877","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562740509314252877\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/5a4b0224-811e-426d-ab63-6b098f679efb.jpg"
"508","0508_481173562740509314252877_img_003.jpg","481173562740509314252877","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173562740509314252877\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/cf17d5d3-33f6-4285-a4e7-083f9e73befa.jpg"
"509","0509_481173563412008176844837_img_001.jpg","481173563412008176844837","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173563412008176844837\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/0220b899-d40e-4017-b3f2-83bdb908edbd.jpg"
"510","0510_481173563412008176844837_img_002.jpg","481173563412008176844837","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173563412008176844837\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/809fa81d-9b1d-4aaa-a8b6-d5d8fa658d0e.jpg"
"511","0511_481173563412008176844837_img_003.jpg","481173563412008176844837","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173563412008176844837\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/22/8647bcca-281c-4ef5-86c7-e37253f824a4.jpg"
"512","0512_481173563557251891200015_img_001.jpg","481173563557251891200015","商品照片","img_001","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173563557251891200015\img_001.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/5b3e66d4-3896-491d-bd38-9dd3831899fd.jpg"
"513","0513_481173563557251891200015_img_002.jpg","481173563557251891200015","拆封照片","img_002","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173563557251891200015\img_002.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/dd94d2c7-46a3-438f-a8e2-dc543ff6096a.jpg"
"514","0514_481173563557251891200015_img_003.jpg","481173563557251891200015","SN码采集 / 激活照片","img_003","C:\Users\guoru\Desktop\audit_robot - 副本\audit_robot - 副本\data\guobu_api_all_20260723_204824\images\481173563557251891200015\img_003.jpg","https://static.jhddsz.com/approval/phoneSubsidy/2026/07/23/e0f40fdc-8942-4c5b-ad7a-4e6c75b7022f.jpg"
